Windows 7 SP 1
Version 6.1.7601 (cmd->"ver")
Kernel32.dll

Name	Address	Ordinal
AcquireSRWLockExclusive	0000000078DCA1EE	1
AcquireSRWLockShared	0000000078DCA20F	2
ActivateActCtx	0000000078D23C80	3
AddAtomA	0000000078D86BA0	4
AddAtomW	0000000078D86B40	5
AddConsoleAliasA	0000000078D8AE60	6
AddConsoleAliasW	0000000078D8AED0	7
AddDllDirectory	0000000078DCA22D	8
AddIntegrityLabelToBoundaryDescriptor	0000000078D6B750	9
AddLocalAlternateComputerNameA	0000000078DB5870	10
AddLocalAlternateComputerNameW	0000000078DAFCC0	11
AddRefActCtx	0000000078D68B40	12
AddSIDToBoundaryDescriptor	0000000078D6B780	13
AddSecureMemoryCacheCallback	0000000078D6E680	14
AddVectoredContinueHandler	0000000078DCA262	15
AddVectoredExceptionHandler	0000000078DCA286	16
AdjustCalendarDate	0000000078DB6EE0	17
AllocConsole	0000000078DA5CB0	18
AllocateUserPhysicalPages	0000000078D68040	19
AllocateUserPhysicalPagesNuma	0000000078D7B4C0	20
ApplicationRecoveryFinished	0000000078D9F640	21
ApplicationRecoveryInProgress	0000000078DA7380	22
AreFileApisANSI	0000000078D6CA70	23
AssignProcessToJobObject	0000000078D29950	24
AttachConsole	0000000078DA5BC0	25
BackupRead	0000000078DB0140	26
BackupSeek	0000000078D97EF0	27
BackupWrite	0000000078DAFE40	28
BaseCheckAppcompatCache	0000000078DA7390	29
BaseCheckAppcompatCacheEx	0000000078D4FC20	30
BaseCheckRunApp	0000000078D25780	31
BaseCleanupAppcompatCacheSupport	0000000078D688B0	32
BaseDllReadWriteIniFile	0000000078D263B0	33
BaseDumpAppcompatCache	0000000078D68770	34
BaseFlushAppcompatCache	0000000078D8FA70	35
BaseFormatObjectAttributes	0000000078D22210	36
BaseFormatTimeOut	0000000078D62F70	37
BaseGenerateAppCompatData	0000000078D4FDF0	38
BaseGetNamedObjectDirectory	0000000078D772B0	39
BaseInitAppcompatCacheSupport	0000000078D8FC10	40
BaseIsAppcompatInfrastructureDisabled	0000000078D40090	41
BaseQueryModuleData	0000000078DA7450	42
BaseSetLastNTError	0000000078D41A20	43
BaseThreadInitThunk	0000000078D359C0	44
BaseUpdateAppcompatCache	0000000078D7B750	45
BaseVerifyUnicodeString	0000000078D62EB0	46
Basep8BitStringToDynamicUnicodeString	0000000078D36660	47
BasepAllocateActivationContextActivationBlock	0000000078D77140	48
BasepAnsiStringToDynamicUnicodeString	0000000078D62F10	49
BasepCheckAppCompat	0000000078DA8FF0	50
BasepCheckBadapp	0000000078D3CE10	51
BasepCheckWinSaferRestrictions	0000000078D3F490	52
BasepFreeActivationContextActivationBlock	0000000078D770F0	53
BasepFreeAppCompatData	0000000078D4F740	54
BasepMapModuleHandle	0000000078D24040	55
Beep	0000000078D87B10	56
BeginUpdateResourceA	0000000078DAE580	57
BeginUpdateResourceW	0000000078DA70F0	58
BindIoCompletionCallback	0000000078D67E60	59
BuildCommDCBA	0000000078D90850	60
BuildCommDCBAndTimeoutsA	0000000078D908F0	61
BuildCommDCBAndTimeoutsW	0000000078D90920	62
BuildCommDCBW	0000000078D90880	63
CallNamedPipeA	0000000078D82C10	64
CallNamedPipeW	0000000078D82A60	65
CallbackMayRunLong	0000000078D299D0	66
CancelDeviceWakeupRequest	0000000078D6D130	67
CancelIo	0000000078D70400	68
CancelIoEx	0000000078D6CA60	69
CancelSynchronousIo	0000000078D70430	70
CancelThreadpoolIo	0000000078DCA2AB	71
CancelTimerQueueTimer	0000000078D67DB0	72
CancelWaitableTimer	0000000078D27720	73
ChangeTimerQueueTimer	0000000078D27F80	74
CheckElevation	0000000078DB7520	75
CheckElevationEnabled	0000000078D4F700	76
CheckForReadOnlyResource	0000000078D6B8D0	77
