Windows 7 SP 1
Version 6.1.7601 (cmd->"ver")
ntdll.dll

Name	Address	Ordinal
	0000000078F369D0	1
	0000000078F36850	2
	0000000078F203F0	3
	0000000078F26E90	4
	0000000078EFFA40	5
	0000000078F3AEF0	6
	0000000078F379C0	7
	0000000078E5D1D0	8
A_SHAFinal	0000000078EB6FA0	9
A_SHAInit	0000000078EB5CF0	10
A_SHAUpdate	0000000078EB6ED0	11
AlpcAdjustCompletionListConcurrencyCount	0000000078EA3440	12
AlpcFreeCompletionListMessage	0000000078EA5CE0	13
AlpcGetCompletionListLastMessageInformation	0000000078EF5860	14
AlpcGetCompletionListMessageAttributes	0000000078F05910	15
AlpcGetHeaderSize	0000000078EA0960	16
AlpcGetMessageAttribute	0000000078EA4C30	17
AlpcGetMessageFromCompletionList	0000000078E991F0	18
AlpcGetOutstandingCompletionListMessageCount	0000000078EF5840	19
AlpcInitializeMessageAttribute	0000000078EA0920	20
AlpcMaxAllowedMessageLength	0000000078EA2670	21
AlpcRegisterCompletionList	0000000078EA2070	22
AlpcRegisterCompletionListWorkerThread	0000000078EA5470	23
AlpcRundownCompletionList	0000000078EF5800	24
AlpcUnregisterCompletionList	0000000078EF5820	25
AlpcUnregisterCompletionListWorkerThread	0000000078EA5970	26
CsrAllocateCaptureBuffer	0000000078E69B10	27
CsrAllocateMessagePointer	0000000078EA4470	28
CsrCaptureMessageBuffer	0000000078EA3F20	29
CsrCaptureMessageMultiUnicodeStringsInPlace	0000000078E67D70	30
CsrCaptureMessageString	0000000078E67CC0	31
CsrCaptureTimeout	0000000078EF7660	32
CsrClientCallServer	0000000078E66600	33
CsrClientConnectToServer	0000000078E698D0	34
CsrFreeCaptureBuffer	0000000078E68DB0	35
CsrGetProcessId	0000000078EF7680	36
CsrIdentifyAlertableThread	0000000078EF2510	37
CsrSetPriorityClass	0000000078EF6F20	38
CsrVerifyRegion	0000000078F021C0	39
DbgBreakPoint	0000000078EBB1F0	40
DbgPrint	0000000078E5BED0	41
DbgPrintEx	0000000078E5BDE0	42
DbgPrintReturnControlC	0000000078F1C150	43
DbgPrompt	0000000078EF5710	44
DbgQueryDebugFilterState	0000000078EF5700	45
DbgSetDebugFilterState	0000000078EF56F0	46
DbgUiConnectToDbg	0000000078F02150	47
DbgUiContinue	0000000078F020B0	48
DbgUiConvertStateChangeStructure	0000000078F01E80	49
DbgUiDebugActiveProcess	0000000078F120E0	50
DbgUiGetThreadDebugObject	0000000078F02130	51
DbgUiIssueRemoteBreakin	0000000078F12020	52
DbgUiRemoteBreakin	0000000078F49740	53
DbgUiSetThreadDebugObject	0000000078F02110	54
DbgUiStopDebugging	0000000078F02090	55
DbgUiWaitStateChange	0000000078F020E0	56
DbgUserBreakPoint	0000000078EBB200	57
EtwCreateTraceInstanceId	0000000078F1DB30	58
EtwDeliverDataBlock	0000000078F4DCA0	59
EtwEnumerateProcessRegGuids	0000000078F0FAC0	60
EtwEventActivityIdControl	0000000078EA2A30	61
EtwEventEnabled	0000000078E9AD80	62
EtwEventProviderEnabled	0000000078EF8370	63
EtwEventRegister	0000000078E66C00	64
EtwEventSetInformation	0000000078EB8F00	65
EtwEventUnregister	0000000078E90B50	66
EtwEventWrite	0000000078E9B0D0	67
EtwEventWriteEndScenario	0000000078F20DF0	68
EtwEventWriteEx	0000000078F20350	69
EtwEventWriteFull	0000000078E9C440	70
EtwEventWriteNoRegistration	0000000078F06F30	71
EtwEventWriteStartScenario	0000000078F20EE0	72
EtwEventWriteString	0000000078F200D0	73
EtwEventWriteTransfer	0000000078F203A0	74
EtwGetTraceEnableFlags	0000000078F06FF0	75
EtwGetTraceEnableLevel	0000000078F07030	76
EtwGetTraceLoggerHandle	0000000078F07070	77
EtwLogTraceEvent	0000000078F20D80	78
EtwNotificationRegister	0000000078E66F80	79
EtwNotificationUnregister	0000000078F1ED70	80
EtwProcessPrivateLoggerRequest	0000000078F4CEA0	81
EtwRegisterSecurityProvider	0000000078F1DAE0	82
EtwRegisterTraceGuidsA	0000000078E9B4E0	83
EtwRegisterTraceGuidsW	0000000078E5DCD0	84
EtwReplyNotification	0000000078F1DA60	85
EtwSendNotification	0000000078F1E090	86
EtwSetMark	0000000078F1DAB0	87
EtwTraceEventInstance	0000000078F20AD0	88
EtwTraceMessage	0000000078E5B9F0	89
EtwTraceMessageVa	0000000078E5BA20	90
EtwUnregisterTraceGuids	0000000078E90B50	91
EtwWriteUMSecurityEvent	0000000078EA2D20	92
EtwpCreateEtwThread	0000000078EF7EF0	93
EtwpGetCpuSpeed	0000000078F2C0D0	94
EtwpNotificationThread	0000000078F4EA00	95
EvtIntReportAuthzEventAndSourceAsync	0000000078F32BA0	96
EvtIntReportEventAndSourceAsync	0000000078E9C8B0	97
ExpInterlockedPopEntrySListEnd	0000000078EBB319	98
ExpInterlockedPopEntrySListEnd16	0000000078EBB2E0	99
ExpInterlockedPopEntrySListFault	0000000078EBB303	100
ExpInterlockedPopEntrySListFault16	0000000078EBB2D5	101
ExpInterlockedPopEntrySListResume	0000000078EBB2EC	102
ExpInterlockedPopEntrySListResume16	0000000078EBB2B5	103
KiRaiseUserExceptionDispatcher	0000000078EBB680	104
KiUserApcDispatcher	0000000078EBB4D0	105
KiUserCallbackDispatcher	0000000078EBB5D0	106
KiUserExceptionDispatcher	0000000078EBB610	107
LdrAccessResource	0000000078E8DCB0	108
LdrAddLoadAsDataTable	0000000078E600A0	109
LdrAddRefDll	0000000078E5C510	110
LdrDisableThreadCalloutsForDll	0000000078E5EFE0	111
LdrEnumResources	0000000078F0B140	112
LdrEnumerateLoadedModules	0000000078E9BFB0	113
LdrFindEntryForAddress	0000000078E8E420	114
LdrFindResourceDirectory_U	0000000078F53040	115
LdrFindResourceEx_U	0000000078E90D90	116
LdrFindResource_U	0000000078E8FF20	117
LdrFlushAlternateResourceModules	0000000078F361B0	118
LdrGetDllHandle	0000000078E88490	119
LdrGetDllHandleByMapping	0000000078E5F9E0	120
LdrGetDllHandleByName	0000000078E5FAC0	121
LdrGetDllHandleEx	0000000078E84B50	122
LdrGetFailureData	0000000078EF7020	123
LdrGetFileNameFromLoadAsDataTable	0000000078F37970	124
LdrGetKnownDllSectionHandle	0000000078E5E550	125
LdrGetProcedureAddress	0000000078E7F6B0	126
LdrGetProcedureAddressEx	0000000078E7DF70	127
LdrHotPatchRoutine	0000000078F49210	128
LdrInitShimEngineDynamic	0000000078F3ADC0	129
LdrInitializeThunk	0000000078E93740	130
LdrLoadAlternateResourceModule	0000000078E94960	131
LdrLoadAlternateResourceModuleEx	0000000078E6AB30	132
LdrLoadDll	0000000078F3B150	133
LdrLockLoaderLock	0000000078E8E280	134
LdrOpenImageFileOptionsKey	0000000078F33EF0	135
LdrProcessInitializationComplete	0000000078EA2850	136
LdrProcessRelocationBlock	0000000078EF5530	137
LdrQueryImageFileExecutionOptions	0000000078E9F870	138
LdrQueryImageFileExecutionOptionsEx	0000000078E9F8A0	139
LdrQueryImageFileKeyOption	0000000078F30FB0	140
LdrQueryModuleServiceTags	0000000078F0F700	141
LdrQueryProcessModuleInformation	0000000078F01DA0	142
LdrRegisterDllNotification	0000000078F2A630	143
LdrRemoveLoadAsDataTable	0000000078E5FD00	144
LdrResFindResource	0000000078F521E0	145
LdrResFindResourceDirectory	0000000078E8BAA0	146
LdrResGetRCConfig	0000000078E8F7F0	147
LdrResRelease	0000000078F420C0	148
LdrResSearchResource	0000000078E8AE10	149
LdrRscIsTypeExist	0000000078E8F450	150
LdrSetAppCompatDllRedirectionCallback	0000000078EF2510	151
LdrSetDllManifestProber	0000000078EA33C0	152
LdrSetMUICacheType	0000000078F36540	153
LdrShutdownProcess	0000000078E87410	154
LdrShutdownThread	0000000078E884C0	155
LdrSystemDllInitBlock	0000000078F7B110	156
LdrUnloadAlternateResourceModule	0000000078E5DEA0	157
LdrUnloadAlternateResourceModuleEx	0000000078E608C0	158
LdrUnloadDll	0000000078E66CB0	159
LdrUnlockLoaderLock	0000000078E66F00	160
LdrUnregisterDllNotification	0000000078F16480	161
LdrVerifyImageMatchesChecksum	0000000078F1E660	162
LdrVerifyImageMatchesChecksumEx	0000000078F1E2A0	163
LdrpResGetMappingSize	0000000078E8AC30	164
LdrpResGetResourceDirectory	0000000078E887A0	165
MD4Final	0000000078EB77C0	166
MD4Init	0000000078EB70B0	167
MD4Update	0000000078EB7660	168
MD5Final	0000000078EB81D0	169
MD5Init	0000000078EB7890	170
MD5Update	0000000078EB8060	171
NlsAnsiCodePage	0000000078F7CB84	172
NlsMbCodePageTag	0000000078F7C9F7	173
NlsMbOemCodePageTag	0000000078F7CB4E	174
NtAcceptConnectPort	0000000078EB9ED0	175
NtAccessCheck	0000000078EB9EE0	176
